source_row_id,names,orig_title,release_year,reason,unmatched_reason,best_candidate_title,best_candidate_original_title,best_candidate_year,best_candidate_tmdb_id,best_candidate_confidence,duplicate_of_tmdb_id
4947,Women's Prison Massacre,Blade Violent - I violenti,1985.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4955,Bullitt,Bullitt,1985.0,Confidence below threshold (0.58 < 0.82).,Confidence below threshold (0.58 < 0.82).,The Making of Bullitt,The Making of Bullitt,,310686.0,0.5765,
4957,The Omen,The Omen,2006.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4969,Death Note,デスノート,2007.0,Best title similarity below threshold.,Best title similarity below threshold.,Death Note Relight 1: Visions of a God,DEATH NOTE リライト ～幻視する神～,2007.0,51482.0,0.6651,
4981,Neon Genesis Evangelion: Death and Rebirth,新世紀エヴァンゲリオン 劇場版 DEATH & REBIRTH シト新生,2002.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4993,Good Mom's Friend 3,착한 엄마친구 3,2019.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
5004,Saludos Amigos,Saludos Amigos,1944.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5007,Replicas,Replicas,2019.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5008,The Royal Tenenbaums,The Royal Tenenbaums,2002.0,Confidence below threshold (0.72 < 0.82).,Confidence below threshold (0.72 < 0.82).,The Peter Bradley Show: 'The Royal Tenenbaums',The Peter Bradley Show: 'The Royal Tenenbaums',2002.0,687170.0,0.7244,
5020,Asteroid City,Asteroid City,2023.0,Not released status.,Not released status.,,,,,,
5027,Emperor,Emperor,2013.0,Best title similarity below threshold.,Best title similarity below threshold.,The Colosseum: The Political Stage of Emperors,황제들의 정치무대 - 콜로세움,2013.0,541384.0,0.4189,
5039,Battle Royale,バトル・ロワイアル,2003.0,Confidence below threshold (0.79 < 0.82).,Confidence below threshold (0.79 < 0.82).,Battle Royale II: Requiem,バトル・ロワイアルII 鎮魂歌,2003.0,3177.0,0.7909,
5041,Christmas ...Again?!,Christmas ...Again?!,2021.0,Confidence below threshold (0.78 < 0.82).,Confidence below threshold (0.78 < 0.82).,Christmas...Again?!,Christmas...Again?!,2021.0,762879.0,0.7808,
5042,Ninja Scroll,獣兵衛忍風帖,1995.0,Best title similarity below threshold.,Best title similarity below threshold.,Ninja Sentai Kakuranger Super Video: The Hidden Scroll,テレビマガジン特製 忍者戦隊カクレンジャースーパービデオ 秘伝之巻,1995.0,985660.0,0.626,
5051,Das Boot,Das Boot,1982.0,Best title similarity below threshold.,Best title similarity below threshold.,Il sommergibile più pazzo del mondo,Il sommergibile più pazzo del mondo,1982.0,372233.0,0.4297,
5065,Vampire Hunter D: Bloodlust,吸血鬼ハンターD ブラッドラスト,2000.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,Vampire Hunter D: Bloodlust,吸血鬼ハンターD ブラッドラスト,2001.0,15999.0,0.8157,
5098,From Up on Poppy Hill,コクリコ坂から,2012.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,From Up on Poppy Hill,コクリコ坂から,2011.0,83389.0,0.8052,
5101,August Rush,August Rush,2008.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,August Rush,August Rush,2007.0,5123.0,0.81,
